,Unnamed: 0,Titre,Notes_moyennes,Nombres_votes,Recettes_Films
0,0,Hugo,8.3,7.5,"73,820,094"
1,2,Edge of Tomorrow,7.1,7.9,"77,121,429"
2,3,The Jungle Book,7.7,7.5,"363,995,937"
3,4,Inside Out,9.4,8.2,"264,317,903"
4,5,Up,8.8,8.3,"292,979,556"
5,6,Guardians of the Galaxy,7.6,8.1,"270,592,504"
6,7,Captain America: The Winter Soldier,7.0,7.8,"228,636,083"
7,8,Dawn of the Planet of the Apes,7.9,7.6,"183,278,877"
8,9,Big Hero 6,7.4,7.8,19000000
9,10,How to Train Your Dragon,7.4,8.1,"216,900,000"
10,11,Wreck-It Ralph,7.2,7.8,"189,412,677"
11,12,Interstellar,7.4,8.6,"158,737,441"
12,13,Inception,7.4,8.8,"292,568,851"
13,14,The Curious Case of Benjamin Button,7.0,7.8,"127,490,802"
14,15,Frozen,7.4,7.5,"400,736,600"
15,16,Harry Potter and the Order of the Phoenix,7.1,7.5,"291,980,108"
16,17,Harry Potter and the Goblet of Fire,8.1,7.7,"289,994,397"
17,18,Ratatouille,9.6,8.0,"112,408,657"
18,19,Batman Begins,7.0,8.3,"204,100,000"
19,20,Mission: Impossible - Rogue Nation,7.5,7.4,"154,979,949"
20,21,Mad Max: Fury Road,9.0,8.1,"129,483,877"
21,22,Mission: Impossible - Ghost Protocol,7.3,7.4,"209,364,921"
22,23,How to Train Your Dragon 2,7.6,7.9,"147,065,544"
23,24,Star Trek,8.2,8.0,"257,704,099"
24,25,Spider-Man,7.3,7.3,"403,706,375"
25,26,The Revenant,7.6,8.0,19000000
26,27,Rango,7.5,7.2,"123,188,232"
27,28,Master and Commander: The Far Side of the World,8.1,7.4,"92,100,000"
28,29,The Hunger Games: Catching Fire,7.6,7.6,"336,663,349"
29,30,Harry Potter and the Prisoner of Azkaban,8.2,7.8,"249,358,727"
30,31,The Bourne Ultimatum,8.5,8.1,"227,400,000"
31,32,Kung Fu Panda,7.3,7.6,"215,395,021"
32,33,Harry Potter and the Deathly Hallows: Part II,0.0,7.5,19000000
33,34,Life of Pi,7.9,7.9,"103,500,000"
34,35,"Monsters, Inc.",7.8,8.1,"34,034,168"
35,36,Gravity,9.6,7.8,"274,084,951"
36,37,Live Free or Die Hard,6.9,7.2,"134,500,000"
37,38,The Aviator,7.7,7.5,"102,563,679"
38,39,The Lord of the Rings: The Fellowship of the Ring,9.2,8.8,"314,000,000"
39,40,The Martian,8.0,8.0,"202,313,768"
40,41,Public Enemies,7.0,7.0,"97,000,000"
41,42,Casino Royale,8.0,8.0,"167,007,184"
42,43,Minority Report,8.0,7.7,"132,000,000"
43,44,Django Unchained,8.1,8.4,"162,804,648"
44,45,American Gangster,7.6,7.8,"130,127,620"
45,46,The Wolf of Wall Street,7.5,8.2,"91,330,760"
46,47,The Emperor's New Groove,7.0,7.3,"87,320,505"
47,48,Gangs of New York,7.2,7.5,"77,605,296"
48,49,Black Hawk Down,7.4,7.7,"108,585,355"
49,50,Finding Nemo,9.0,8.1,"380,529,370"
50,51,The Lord of the Rings: The Return of the King,9.4,8.9,"364,000,000"
51,52,The Lord of the Rings: The Two Towers,8.8,8.7,"339,700,000"
52,53,The Incredibles,9.0,8.0,19000000
53,54,The Departed,8.5,8.5,"132,300,000"
54,55,Tropic Thunder,7.1,7.0,"110,416,702"
55,56,The Girl with the Dragon Tattoo,7.1,7.8,"102,515,793"
56,57,King Arthur: Legend of the Sword,0.0,7.3,"38,678,121"
57,58,Cinderella Man,6.9,8.0,"61,600,000"
58,59,Seabiscuit,7.2,7.3,"120,147,445"
59,60,Cast Away,7.3,7.7,19000000
60,61,Ocean's Eleven,7.4,7.8,"183,349,128"
61,62,The Bourne Supremacy,7.3,7.8,"176,049,130"
62,63,Enchanted,7.5,7.1,"127,706,877"
63,64,Arthur Christmas,6.9,7.1,"46,440,491"
64,65,Zodiac,7.8,7.7,"33,000,000"
65,66,Scott Pilgrim vs. the World,6.9,7.5,"31,494,270"
66,67,Hellboy II: The Golden Army,7.8,7.0,"75,754,670"
67,68,Lilo & Stitch,7.3,7.2,"145,771,527"
68,69,Road to Perdition,7.2,7.7,"104,054,514"
69,70,Cold Mountain,7.3,7.2,19000000
70,71,Oceans,7.5,7.8,"19,000,000"
71,72,A Beautiful Mind,7.2,8.2,19000000
72,73,The Little Prince,7.0,7.8,19000000
73,74,Children of Men,8.4,7.9,"35,100,000"
74,75,Charlie Wilson's War,6.9,7.1,"66,636,385"
75,76,Munich,7.4,7.6,"47,379,090"
76,77,The Simpsons Movie,8.0,7.4,"183,100,000"
77,78,Shrek 2,7.5,7.2,"436,471,036"
78,79,Cars,7.3,7.1,"244,052,771"
79,80,Inglourious Basterds,6.9,8.3,"120,523,073"
80,81,War Horse,7.2,7.2,"79,883,359"
81,82,Despicable Me,7.2,7.7,"251,476,985"
82,83,Lincoln,8.6,7.4,"129,477,447"
83,84,Gone Girl,7.9,8.1,19000000
84,85,The Lego Movie,8.3,7.8,"244,870,202"
85,86,Collateral,7.1,7.6,"100,003,492"
86,87,Coraline,8.0,7.7,"75,169,351"
87,88,ParaNorman,7.2,7.0,"55,994,557"
88,89,Invictus,7.4,7.4,"37,431,431"
89,90,Almost Famous,9.0,7.9,"31,716,715"
