,name,films,Photo
0,Scarlett Johansson,Lost in Translation,"https://m.media-amazon.com/images/M/MV5BMTM3OTUwMDYwNl5BMl5BanBnXkFtZTcwNTUyNzc3Nw@@._V1_UY209_CR16,0,140,209_AL_.jpg"
1,Henry Cavill,Man of Steel,"https://m.media-amazon.com/images/M/MV5BODI0MTYzNTIxNl5BMl5BanBnXkFtZTcwNjg2Nzc0NA@@._V1_UY209_CR18,0,140,209_AL_.jpg"
2,Katherine McNamara,Shadowhunters: The Mortal Instruments,"https://m.media-amazon.com/images/M/MV5BMjhjOTY0NTMtNzEyNC00YzRjLTg4M2EtZmJhZTljNzMzOTQzXkEyXkFqcGdeQXVyMjU0ODI4MzY@._V1_UY209_CR8,0,140,209_AL_.jpg"
3,Sarah Hyland,Vampire Academy,"https://m.media-amazon.com/images/M/MV5BMjI0Njc0NDA2OV5BMl5BanBnXkFtZTgwMTAyMzM0NzE@._V1_UY209_CR12,0,140,209_AL_.jpg"
4,Daisy Edgar-Jones,Normal People,"https://m.media-amazon.com/images/M/MV5BZWMzNTE4NTMtYWU0My00ZTQ5LWEyNmUtNjk4NmU0YjY3YmIzXkEyXkFqcGdeQXVyODU0OTkyNTk@._V1_UY209_CR13,0,140,209_AL_.jpg"
5,Sunita Mani,GLOW,"https://m.media-amazon.com/images/M/MV5BMjJkOWZjNGYtODBjOS00ZmY2LWE0MmMtMzAwM2IyY2FkYjI5XkEyXkFqcGdeQXVyMjU1MjI1OTU@._V1_UY209_CR4,0,140,209_AL_.jpg"
6,Mia Goth,Pearl,"https://m.media-amazon.com/images/M/MV5BMTcwNDkyNjI1M15BMl5BanBnXkFtZTgwMDY2OTk0NzM@._V1_UY209_CR9,0,140,209_AL_.jpg"
7,Lizzy Caplan,Cloverfield,"https://m.media-amazon.com/images/M/MV5BMjA1MDgxNDU0Nl5BMl5BanBnXkFtZTgwNjk4NTgwMTE@._V1_UY209_CR13,0,140,209_AL_.jpg"
8,Jennifer Coolidge,A Mighty Wind,"https://m.media-amazon.com/images/M/MV5BMTI3NjYyMzgxNl5BMl5BanBnXkFtZTcwMjgyMzM0Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg"
9,Ty Tennant,Tolkien,"https://m.media-amazon.com/images/M/MV5BZjUwODZiYzUtODZiZi00ODUwLWIzM2YtODdiYTM0ZmUxY2JkXkEyXkFqcGdeQXVyODQxODI3MTI@._V1_UY209_CR1,0,140,209_AL_.jpg"
